date,pred,lower,upper,adm_1
2024-10-06,256.9605057,81.69975103,432.2212604,AC
2024-10-13,255.2872024,80.0264477,430.547957,AC
2024-10-20,284.5874548,109.3267001,459.8482094,AC
2024-10-27,277.0005752,101.7398205,452.2613298,AC
2024-11-03,290.9726379,115.7118833,466.2333926,AC
2024-11-10,317.8024144,142.5416597,493.063169,AC
2024-11-17,357.825645,182.5648904,533.0863997,AC
2024-11-24,384.9816562,209.7209015,560.2424109,AC
2024-12-01,398.0375933,222.7768386,573.2983479,AC
2024-12-08,428.9597476,253.6989929,604.2205023,AC
2024-12-15,411.0958354,235.8350807,586.3565901,AC
2024-12-22,401.4256501,226.1648954,576.6864048,AC
2024-12-29,400.8572872,225.5965325,576.1180419,AC
2025-01-05,472.029023,296.7682683,647.2897777,AC
2025-01-12,588.3769574,413.1162027,763.6377121,AC
2025-01-19,596.9770366,421.7162819,772.2377913,AC
2025-01-26,559.1449917,383.8842371,734.4057464,AC
2025-02-02,523.396218,348.1354633,698.6569727,AC
2025-02-09,531.9031659,356.6424113,707.1639206,AC
2025-02-16,470.8639848,295.6032301,646.1247395,AC
2025-02-23,425.4715037,250.210749,600.7322584,AC
2025-03-02,424.6644579,249.4037032,599.9252125,AC
2025-03-09,375.7685266,200.5077719,551.0292813,AC
2025-03-16,362.1348588,186.8741041,537.3956135,AC
2025-03-23,362.5849385,187.3241839,537.8456932,AC
2025-03-30,284.1126696,108.851915,459.3734243,AC
2025-04-06,275.1166911,99.85593644,450.3774458,AC
2025-04-13,232.5171433,57.25638862,407.777898,AC
2025-04-20,204.7722752,29.51152057,380.0330299,AC
2025-04-27,151.6371671,0,326.8979218,AC
2025-05-04,167.2648307,0,342.5255854,AC
2025-05-11,143.7655373,0,319.0262919,AC
2025-05-18,139.014882,0,314.2756366,AC
2025-05-25,119.813919,0,295.0746737,AC
2025-06-01,103.8386647,0,279.0994194,AC
2025-06-08,86.998049,0,262.2588037,AC
2025-06-15,84.01444892,0,259.2752036,AC
2025-06-22,79.57641681,0,254.8371715,AC
2025-06-29,68.18983165,0,243.4505863,AC
2025-07-06,62.64944343,0,237.9101981,AC
2025-07-13,67.94962593,0,243.2103806,AC
2025-07-20,64.40548714,0,239.6662418,AC
2025-07-27,60.56901406,0,235.8297687,AC
2025-08-03,69.20977826,0,244.4705329,AC
2025-08-10,64.01678916,0,239.2775438,AC
2025-08-17,69.84153198,0,245.1022866,AC
2025-08-24,92.35446575,0,267.6152204,AC
2025-08-31,124.6867669,0,299.9475216,AC
2025-09-07,152.8718299,0,328.1325846,AC
2025-09-14,209.3867495,34.12599479,384.6475041,AC
2025-09-21,205.9438636,30.68310889,381.2046182,AC
2025-09-28,208.4865202,33.22576551,383.7472749,AC
