date,pred,lower,upper,adm_1
2024-10-06,195.121698,23.75496858,366.4884273,AL
2024-10-13,185.3247869,13.9580575,356.6915163,AL
2024-10-20,204.1063129,32.73958348,375.4730422,AL
2024-10-27,184.1415396,12.77481025,355.508269,AL
2024-11-03,184.821679,13.45494962,356.1884084,AL
2024-11-10,232.0988371,60.7321077,403.4655665,AL
2024-11-17,218.4195584,47.05282899,389.7862878,AL
2024-11-24,183.2758707,11.90914128,354.6426,AL
2024-12-01,164.3431213,0,335.7098507,AL
2024-12-08,155.5344291,0,326.9011585,AL
2024-12-15,150.5382829,0,321.9050123,AL
2024-12-22,124.1369977,0,295.5037271,AL
2024-12-29,109.5524787,0,280.9192081,AL
2025-01-05,132.0729194,0,303.4396487,AL
2025-01-12,166.2490704,0,337.6157998,AL
2025-01-19,161.9637212,0,333.3304506,AL
2025-01-26,166.3905554,0,337.7572848,AL
2025-02-02,177.2987153,5.931985923,348.6654447,AL
2025-02-09,234.8764045,63.50967515,406.2431339,AL
2025-02-16,213.174518,41.80778858,384.5412473,AL
2025-02-23,223.7093437,52.34261428,395.076073,AL
2025-03-02,266.2694406,94.90271126,437.63617,AL
2025-03-09,266.3699126,95.00318326,437.736642,AL
2025-03-16,271.4623824,100.095653,442.8291118,AL
2025-03-23,366.8525093,195.4857799,538.2192387,AL
2025-03-30,324.9851324,153.618403,496.3518618,AL
2025-04-06,376.5847749,205.2180455,547.9515043,AL
2025-04-13,385.1936579,213.8269285,556.5603873,AL
2025-04-20,427.5129702,256.1462408,598.8796996,AL
2025-04-27,454.3403285,282.9735991,625.7070578,AL
2025-05-04,538.8995757,367.5328463,710.2663051,AL
2025-05-11,616.0298478,444.6631184,787.3965772,AL
2025-05-18,644.7420541,473.3753247,816.1087835,AL
2025-05-25,587.8862875,416.5195581,759.2530169,AL
2025-06-01,587.1585373,415.7918079,758.5252666,AL
2025-06-08,554.4467657,383.0800363,725.813495,AL
2025-06-15,546.2454509,374.8787215,717.6121803,AL
2025-06-22,505.8998149,334.5330855,677.2665443,AL
2025-06-29,445.3927759,274.0260465,616.7595053,AL
2025-07-06,465.7861893,294.4194599,637.1529187,AL
2025-07-13,443.9811922,272.6144628,615.3479216,AL
2025-07-20,413.473267,242.1065376,584.8399964,AL
2025-07-27,369.0933369,197.7266075,540.4600663,AL
2025-08-03,354.7957596,183.4290302,526.1624889,AL
2025-08-10,336.5561866,165.1894572,507.922916,AL
2025-08-17,292.2740809,120.9073515,463.6408103,AL
2025-08-24,264.6648745,93.29814514,436.0316039,AL
2025-08-31,234.8000361,63.43330671,406.1667655,AL
2025-09-07,234.0711357,62.70440635,405.4378651,AL
2025-09-14,206.636989,35.27025964,378.0037184,AL
2025-09-21,204.1052727,32.73854332,375.4720021,AL
2025-09-28,186.7245918,15.35786242,358.0913212,AL
