date,pred,lower,upper,adm_1
2024-10-06,38.72313726,3.265069929,74.18120459,AP
2024-10-13,36.01811519,0.5600478598,71.47618252,AP
2024-10-20,35.50530021,0.04723288045,70.96336754,AP
2024-10-27,32.93899332,0,68.39706065,AP
2024-11-03,34.63648413,0,70.09455146,AP
2024-11-10,32.8877532,0,68.34582053,AP
2024-11-17,30.32676108,0,65.78482841,AP
2024-11-24,24.26566362,0,59.72373094,AP
2024-12-01,20.53946726,0,55.99753458,AP
2024-12-08,19.02423706,0,54.48230439,AP
2024-12-15,18.92835399,0,54.38642132,AP
2024-12-22,15.34231798,0,50.80038531,AP
2024-12-29,17.4552501,0,52.91331743,AP
2025-01-05,28.55691795,0,64.01498528,AP
2025-01-12,44.60891441,9.150847083,80.06698174,AP
2025-01-19,43.68462038,8.226553053,79.14268771,AP
2025-01-26,51.01916227,15.56109494,86.4772296,AP
2025-02-02,54.90913832,19.451071,90.36720565,AP
2025-02-09,65.03654734,29.57848001,100.4946147,AP
2025-02-16,56.16666328,20.70859595,91.6247306,AP
2025-02-23,57.10396194,21.64589461,92.56202927,AP
2025-03-02,59.29009604,23.83202871,94.74816337,AP
2025-03-09,76.32122803,40.8631607,111.7792954,AP
2025-03-16,70.54329108,35.08522375,106.0013584,AP
2025-03-23,65.07334104,29.61527371,100.5314084,AP
2025-03-30,60.48416043,25.02609311,95.94222776,AP
2025-04-06,67.99379411,32.53572678,103.4518614,AP
2025-04-13,61.89460275,26.43653542,97.35267008,AP
2025-04-20,53.30234368,17.84427635,88.760411,AP
2025-04-27,45.20242986,9.744362527,80.66049718,AP
2025-05-04,43.95995106,8.501883735,79.41801839,AP
2025-05-11,50.11910481,14.66103748,85.57717214,AP
2025-05-18,44.92120409,9.463136765,80.37927142,AP
2025-05-25,37.13313071,1.675063381,72.59119804,AP
2025-06-01,32.84233084,0,68.30039817,AP
2025-06-08,28.46148904,0,63.91955637,AP
2025-06-15,26.66490681,0,62.12297414,AP
2025-06-22,25.75776141,0,61.21582874,AP
2025-06-29,22.13484807,0,57.5929154,AP
2025-07-06,22.1467323,0,57.60479963,AP
2025-07-13,20.57617817,0,56.0342455,AP
2025-07-20,18.24366535,0,53.70173267,AP
2025-07-27,20.44166258,0,55.89972991,AP
2025-08-03,27.361407,0,62.81947433,AP
2025-08-10,31.9759373,0,67.43400463,AP
2025-08-17,31.56061619,0,67.01868352,AP
2025-08-24,32.08041099,0,67.53847831,AP
2025-08-31,31.92851961,0,67.38658693,AP
2025-09-07,28.61728663,0,64.07535396,AP
2025-09-14,30.3483081,0,65.80637543,AP
2025-09-21,32.44526207,0,67.9033294,AP
2025-09-28,31.69648315,0,67.15455048,AP
