date,pred,lower,upper,adm_1
2024-10-06,271.56313016406585,0.0,706.1673837986166,BA
2024-10-13,253.34705047531563,0.0,687.9513041098663,BA
2024-10-20,277.0363768768749,0.0,711.6406305114256,BA
2024-10-27,240.48248588545596,0.0,675.0867395200066,BA
2024-11-03,273.3823740952703,0.0,707.9866277298211,BA
2024-11-10,297.0006019795127,0.0,731.6048556140634,BA
2024-11-17,296.48740519799526,0.0,731.091658832546,BA
2024-11-24,348.55214635233654,0.0,783.1563999868872,BA
2024-12-01,379.8890912836392,0.0,814.4933449181899,BA
2024-12-08,396.47092474677385,0.0,831.0751783813246,BA
2024-12-15,345.88891599172956,0.0,780.4931696262803,BA
2024-12-22,303.67033105958313,0.0,738.2745846941339,BA
2024-12-29,382.064762604279,0.0,816.6690162388297,BA
2025-01-05,654.7319626155116,220.1277089809609,1089.3362162500623,BA
2025-01-12,789.4852176206336,354.8809639860829,1224.0894712551844,BA
2025-01-19,778.2504982021694,343.6462445676187,1212.8547518367202,BA
2025-01-26,981.233043773396,546.6287901388453,1415.8372974079468,BA
2025-02-02,1171.2674885614638,736.663234926913,1605.8717421960146,BA
2025-02-09,1424.0796343065958,989.475380672045,1858.6838879411466,BA
2025-02-16,1775.3255650988272,1340.7213114642764,2209.929818733378,BA
2025-02-23,1870.9726513084074,1436.3683976738566,2305.576904942958,BA
2025-03-02,1919.2300886924486,1484.6258350578978,2353.8343423269994,BA
2025-03-09,2038.1430088874495,1603.5387552528987,2472.7472625220003,BA
2025-03-16,2041.8721709460287,1607.267917311478,2476.4764245805795,BA
2025-03-23,2116.7646863808873,1682.1604327463365,2551.368940015438,BA
2025-03-30,1943.3466288139734,1508.7423751794227,2377.950882448524,BA
2025-04-06,2092.6456324892565,1658.0413788547057,2527.2498861238073,BA
2025-04-13,2135.245680842293,1700.6414272077423,2569.849934476844,BA
2025-04-20,1990.554067447435,1555.9498138128843,2425.158321081986,BA
2025-04-27,1882.2432151045427,1447.638961469992,2316.8474687390935,BA
2025-05-04,1891.0131875332709,1456.40893389872,2325.6174411678217,BA
2025-05-11,1983.1498053057371,1548.5455516711863,2417.754058940288,BA
2025-05-18,1738.3124718455842,1303.7082182110335,2172.916725480135,BA
2025-05-25,1506.254300503841,1071.6500468692902,1940.8585541383918,BA
2025-06-01,1467.5433881191134,1032.9391344845626,1902.1476417536642,BA
2025-06-08,1246.97338885281,812.3691352182593,1681.577642487361,BA
2025-06-15,1057.6824566113037,623.0782029767529,1492.2867102458545,BA
2025-06-22,854.5006717152269,419.89641808067614,1289.1049253497777,BA
2025-06-29,731.3065976485253,296.7023440139746,1165.910851283076,BA
2025-07-06,807.6101394472946,373.0058858127439,1242.2143930818454,BA
2025-07-13,775.7613826911112,341.15712905656045,1210.3656363256619,BA
2025-07-20,673.5878078977273,238.9835542631766,1108.192061532278,BA
2025-07-27,553.1852255466544,118.58097191210362,987.789479181205,BA
2025-08-03,530.3882677537009,95.78401411915019,964.9925213882516,BA
2025-08-10,460.75001424992735,26.145760615376616,895.3542678844781,BA
2025-08-17,396.5355170751851,0.0,831.1397707097358,BA
2025-08-24,360.90469445745765,0.0,795.5089480920084,BA
2025-08-31,332.2208531424104,0.0,766.8251067769611,BA
2025-09-07,318.00560674258105,0.0,752.6098603771318,BA
2025-09-14,306.882358763685,0.0,741.4866123982357,BA
2025-09-21,303.52289867979965,0.0,738.1271523143504,BA
2025-09-28,276.46771262720694,0.0,711.0719662617577,BA
