date,pred,lower,upper,adm_1
2024-10-06,325.6865943,0,894.4776624,CE
2024-10-13,304.2537979,0,873.0448659,CE
2024-10-20,247.7186625,0,816.5097306,CE
2024-10-27,231.4229769,0,800.214045,CE
2024-11-03,265.0807997,0,833.8718678,CE
2024-11-10,312.4435172,0,881.2345853,CE
2024-11-17,301.180855,0,869.971923,CE
2024-11-24,318.0567733,0,886.8478414,CE
2024-12-01,352.2849781,0,921.0760461,CE
2024-12-08,349.690202,0,918.4812701,CE
2024-12-15,278.5338643,0,847.3249324,CE
2024-12-22,245.9894827,0,814.7805508,CE
2024-12-29,259.9073276,0,828.6983957,CE
2025-01-05,440.8230225,0,1009.614091,CE
2025-01-12,540.0047482,0,1108.795816,CE
2025-01-19,619.8358309,51.04476281,1188.626899,CE
2025-01-26,726.3459372,157.5548691,1295.137005,CE
2025-02-02,921.0455901,352.2545221,1489.836658,CE
2025-02-09,980.1945396,411.4034715,1548.985608,CE
2025-02-16,1071.001145,502.2100766,1639.792213,CE
2025-02-23,1094.309365,525.5182974,1663.100434,CE
2025-03-02,1283.629451,714.838383,1852.420519,CE
2025-03-09,1553.781699,984.9906308,2122.572767,CE
2025-03-16,1743.141169,1174.350101,2311.932237,CE
2025-03-23,1696.882023,1128.090955,2265.673091,CE
2025-03-30,2046.955751,1478.164683,2615.746819,CE
2025-04-06,2457.400171,1888.609103,3026.191239,CE
2025-04-13,2676.797946,2108.006878,3245.589014,CE
2025-04-20,2555.076752,1986.285684,3123.86782,CE
2025-04-27,2705.711466,2136.920398,3274.502535,CE
2025-05-04,2699.520728,2130.72966,3268.311796,CE
2025-05-11,2997.913465,2429.122397,3566.704533,CE
2025-05-18,2917.114301,2348.323233,3485.905369,CE
2025-05-25,2334.119433,1765.328365,2902.910501,CE
2025-06-01,1944.635843,1375.844775,2513.426911,CE
2025-06-08,1840.754128,1271.96306,2409.545196,CE
2025-06-15,1679.280959,1110.489891,2248.072027,CE
2025-06-22,1478.472692,909.6816243,2047.26376,CE
2025-06-29,1239.198818,670.4077497,1807.989886,CE
2025-07-06,1190.283803,621.4927353,1759.074871,CE
2025-07-13,1012.116188,443.3251204,1580.907257,CE
2025-07-20,948.2062232,379.4151552,1516.997291,CE
2025-07-27,809.199733,240.408665,1377.990801,CE
2025-08-03,792.3712766,223.5802085,1361.162345,CE
2025-08-10,696.6239351,127.8328671,1265.415003,CE
2025-08-17,639.8009416,71.0098735,1208.59201,CE
2025-08-24,539.4252932,0,1108.216361,CE
2025-08-31,412.6330338,0,981.4241018,CE
2025-09-07,378.232324,0,947.0233921,CE
2025-09-14,359.7875657,0,928.5786337,CE
2025-09-21,360.3166789,0,929.107747,CE
2025-09-28,306.2876062,0,875.0786743,CE
