date,pred,lower,upper,adm_1
2024-10-06,114.21542533312964,0.0,343.73918368779675,DF
2024-10-13,100.97675715412392,0.0,330.500515508791,DF
2024-10-20,112.89870587234216,0.0,342.42246422700924,DF
2024-10-27,97.86965563085863,0.0,327.39341398552574,DF
2024-11-03,105.53509405130488,0.0,335.05885240597195,DF
2024-11-10,109.61307802679383,0.0,339.1368363814609,DF
2024-11-17,119.82967265165678,0.0,349.35343100632383,DF
2024-11-24,128.90030724482435,0.0,358.4240655994914,DF
2024-12-01,134.93747140458134,0.0,364.46122975924845,DF
2024-12-08,172.39628273759925,0.0,401.92004109226633,DF
2024-12-15,185.68552358649765,0.0,415.2092819411647,DF
2024-12-22,161.47653189080168,0.0,391.00029024546876,DF
2024-12-29,138.2331024021593,0.0,367.75686075682637,DF
2025-01-05,293.58833193506615,64.06457358039907,523.1120902897333,DF
2025-01-12,309.45854756079336,79.93478920612628,538.9823059154604,DF
2025-01-19,360.3717875792287,130.8480292245616,589.8955459338957,DF
2025-01-26,402.7332521263539,173.2094937716868,632.257010481021,DF
2025-02-02,510.95825809041116,281.4344997357441,740.4820164450782,DF
2025-02-09,674.6020837505126,445.0783253958456,904.1258421051797,DF
2025-02-16,569.0072409156572,339.4834825609902,798.5309992703243,DF
2025-02-23,660.4801023335185,430.95634397885146,890.0038606881856,DF
2025-03-02,740.7089385461318,511.1851801914647,970.2326969007988,DF
2025-03-09,863.8910007454432,634.3672423907761,1093.4147591001104,DF
2025-03-16,942.4427486939342,712.9189903392671,1171.9665070486012,DF
2025-03-23,973.4666945643786,743.9429362097115,1202.9904529190458,DF
2025-03-30,1017.5335655018333,788.0098071471663,1247.0573238565005,DF
2025-04-06,1060.9408441032974,831.4170857486304,1290.4646024579645,DF
2025-04-13,1226.7043462717743,997.1805879171072,1456.2281046264413,DF
2025-04-20,1228.1437826709412,998.6200243162741,1457.6675410256082,DF
2025-04-27,1190.3469865293675,960.8232281747005,1419.8707448840346,DF
2025-05-04,1126.6194783011272,897.0957199464601,1356.1432366557942,DF
2025-05-11,1096.915106051184,867.391347696517,1326.438864405851,DF
2025-05-18,1091.6355535245361,862.1117951698691,1321.1593118792032,DF
2025-05-25,920.8145740692573,691.2908157145903,1150.3383324239244,DF
2025-06-01,875.7221992785472,646.1984409238802,1105.2459576332144,DF
2025-06-08,732.3281030872837,502.80434473261664,961.8518614419507,DF
2025-06-15,571.406774312077,341.88301595740995,800.930532666744,DF
2025-06-22,414.5500206699913,185.0262623153242,644.0737790246584,DF
2025-06-29,328.137381208088,98.61362285342094,557.6611395627551,DF
2025-07-06,276.4898946084455,46.966136253778444,506.0136529631126,DF
2025-07-13,216.53105383102422,0.0,446.0548121856913,DF
2025-07-20,210.29766621025595,0.0,439.82142456492306,DF
2025-07-27,177.02565899350913,0.0,406.54941734817623,DF
2025-08-03,164.59178779094242,0.0,394.1155461456095,DF
2025-08-10,132.25917994752768,0.0,361.7829383021948,DF
2025-08-17,147.56415477398318,0.0,377.08791312865026,DF
2025-08-24,133.1748741820142,0.0,362.6986325366813,DF
2025-08-31,120.53150064547785,0.0,350.05525900014493,DF
2025-09-07,142.22887715682876,0.0,371.75263551149584,DF
2025-09-14,142.32990791944695,0.0,371.85366627411406,DF
2025-09-21,138.5012673529533,0.0,368.0250257076204,DF
2025-09-28,140.3810967871963,0.0,369.9048551418634,DF
