date,pred,lower,upper,adm_1
2024-10-06,558.7186819,0,1631.696704,GO
2024-10-13,578.3643788,0,1651.342401,GO
2024-10-20,642.850318,0,1715.82834,GO
2024-10-27,588.1925131,0,1661.170535,GO
2024-11-03,617.8877283,0,1690.86575,GO
2024-11-10,747.0119642,0,1819.989986,GO
2024-11-17,808.9503435,0,1881.928365,GO
2024-11-24,945.4434061,0,2018.421428,GO
2024-12-01,1021.774696,0,2094.752718,GO
2024-12-08,1190.831725,117.8537034,2263.809747,GO
2024-12-15,1120.368433,47.39041071,2193.346455,GO
2024-12-22,844.6783613,0,1917.656383,GO
2024-12-29,1050.019597,0,2122.997619,GO
2025-01-05,1959.426139,886.4481173,3032.404161,GO
2025-01-12,2376.362547,1303.384525,3449.340569,GO
2025-01-19,2695.231016,1622.252994,3768.209039,GO
2025-01-26,3052.262015,1979.283993,4125.240037,GO
2025-02-02,3625.980927,2553.002905,4698.958949,GO
2025-02-09,3614.376303,2541.398281,4687.354325,GO
2025-02-16,3892.235187,2819.257165,4965.213209,GO
2025-02-23,3975.294944,2902.316922,5048.272966,GO
2025-03-02,4329.936986,3256.958964,5402.915008,GO
2025-03-09,4548.139926,3475.161904,5621.117948,GO
2025-03-16,4666.200334,3593.222312,5739.178356,GO
2025-03-23,4791.112845,3718.134823,5864.090867,GO
2025-03-30,4402.780328,3329.802306,5475.75835,GO
2025-04-06,4730.818745,3657.840723,5803.796767,GO
2025-04-13,4798.144696,3725.166674,5871.122718,GO
2025-04-20,4130.853738,3057.875716,5203.83176,GO
2025-04-27,4326.805604,3253.827582,5399.783626,GO
2025-05-04,4408.512849,3335.534827,5481.490871,GO
2025-05-11,4116.521023,3043.543001,5189.499045,GO
2025-05-18,3510.848169,2437.870147,4583.826191,GO
2025-05-25,2862.385433,1789.407411,3935.363455,GO
2025-06-01,2481.706766,1408.728744,3554.684788,GO
2025-06-08,2135.140952,1062.16293,3208.118974,GO
2025-06-15,1800.147506,727.1694843,2873.125528,GO
2025-06-22,1515.549532,442.5715096,2588.527554,GO
2025-06-29,1191.25257,118.2745477,2264.230592,GO
2025-07-06,942.8231223,0,2015.801144,GO
2025-07-13,769.5386988,0,1842.516721,GO
2025-07-20,675.4973576,0,1748.47538,GO
2025-07-27,580.8212955,0,1653.799317,GO
2025-08-03,590.268004,0,1663.246026,GO
2025-08-10,543.2358835,0,1616.213906,GO
2025-08-17,534.3344643,0,1607.312486,GO
2025-08-24,514.2552826,0,1587.233305,GO
2025-08-31,463.211938,0,1536.18996,GO
2025-09-07,466.1100811,0,1539.088103,GO
2025-09-14,518.6890811,0,1591.667103,GO
2025-09-21,538.3140869,0,1611.292109,GO
2025-09-28,519.2977936,0,1592.275816,GO
