date,pred,lower,upper,adm_1
2024-10-06,416.9261529,0,4954.856901,MG
2024-10-13,434.4496652,0,4972.380413,MG
2024-10-20,547.0273216,0,5084.95807,MG
2024-10-27,491.3041732,0,5029.234921,MG
2024-11-03,509.3082918,0,5047.23904,MG
2024-11-10,612.9876185,0,5150.918367,MG
2024-11-17,642.8618325,0,5180.792581,MG
2024-11-24,840.1419748,0,5378.072723,MG
2024-12-01,905.5564277,0,5443.487176,MG
2024-12-08,1117.642186,0,5655.572935,MG
2024-12-15,1221.01677,0,5758.947519,MG
2024-12-22,1306.603864,0,5844.534612,MG
2024-12-29,1657.984488,0,6195.915236,MG
2025-01-05,3003.125202,0,7541.05595,MG
2025-01-12,3700.442238,0,8238.372986,MG
2025-01-19,4248.338058,0,8786.268807,MG
2025-01-26,4890.329861,352.3991131,9428.26061,MG
2025-02-02,5814.124528,1276.19378,10352.05528,MG
2025-02-09,6920.073324,2382.142576,11458.00407,MG
2025-02-16,8887.716622,4349.785874,13425.64737,MG
2025-02-23,9851.535666,5313.604918,14389.46641,MG
2025-03-02,10333.5285,5795.597756,14871.45925,MG
2025-03-09,11281.77595,6743.845201,15819.7067,MG
2025-03-16,12985.21276,8447.28201,17523.14351,MG
2025-03-23,13310.11044,8772.179692,17848.04119,MG
2025-03-30,13459.15915,8921.228406,17997.0899,MG
2025-04-06,15252.51695,10714.58621,19790.4477,MG
2025-04-13,15277.82675,10739.896,19815.7575,MG
2025-04-20,13008.88577,8470.955019,17546.81652,MG
2025-04-27,12666.69195,8128.761199,17204.6227,MG
2025-05-04,11105.8801,6567.94935,15643.81085,MG
2025-05-11,9860.475711,5322.544963,14398.40646,MG
2025-05-18,7884.233961,3346.303213,12422.16471,MG
2025-05-25,5605.405523,1067.474775,10143.33627,MG
2025-06-01,4027.999813,0,8565.930561,MG
2025-06-08,2916.945638,0,7454.876387,MG
2025-06-15,2289.797856,0,6827.728605,MG
2025-06-22,1534.226049,0,6072.156797,MG
2025-06-29,1219.973806,0,5757.904554,MG
2025-07-06,878.2761625,0,5416.206911,MG
2025-07-13,660.1039856,0,5198.034734,MG
2025-07-20,558.6367413,0,5096.56749,MG
2025-07-27,520.8877512,0,5058.818499,MG
2025-08-03,462.3521803,0,5000.282929,MG
2025-08-10,433.0284388,0,4970.959187,MG
2025-08-17,425.1069744,0,4963.037723,MG
2025-08-24,421.7157805,0,4959.646529,MG
2025-08-31,391.6208794,0,4929.551628,MG
2025-09-07,411.6044989,0,4949.535247,MG
2025-09-14,494.5380562,0,5032.468804,MG
2025-09-21,492.290499,0,5030.221247,MG
2025-09-28,461.5456803,0,4999.476429,MG
