date,pred,lower,upper,adm_1
2024-10-06,0,654.4972524,771.7727848,MS
2024-10-13,0,655.1839645,761.6264212,MS
2024-10-20,0,682.6728607,802.9242693,MS
2024-10-27,0,691.1696928,853.3446272,MS
2024-11-03,0,718.0939223,869.3744233,MS
2024-11-10,0,777.9975018,900.2457452,MS
2024-11-17,0,822.2198796,932.9470515,MS
2024-11-24,0,930.2789635,1008.741475,MS
2024-12-01,0,1001.868055,837.2068391,MS
2024-12-08,0,1026.555525,768.5171067,MS
2024-12-15,0,1047.173253,678.2051055,MS
2024-12-22,0,965.0488099,590.8545705,MS
2024-12-29,100.9978617,1179.492501,673.3192892,MS
2025-01-05,512.1208363,1590.615476,1128.019691,MS
2025-01-12,782.2347975,1860.729437,1238.981668,MS
2025-01-19,1007.245532,2085.740171,1207.598443,MS
2025-01-26,1221.679371,2300.17401,1527.644989,MS
2025-02-02,1151.007676,2229.502316,1666.3137,MS
2025-02-09,1055.21185,2133.706489,1843.371442,MS
2025-02-16,1077.471511,2155.96615,2101.504891,MS
2025-02-23,1038.504064,2116.998704,2150.55586,MS
2025-03-02,1114.0576,2192.552239,2576.806586,MS
2025-03-09,1184.70522,2263.19986,3066.954708,MS
2025-03-16,1138.414985,2216.909624,2987.369428,MS
2025-03-23,1099.626888,2178.121527,3457.737092,MS
2025-03-30,1041.497557,2119.992196,3565.549955,MS
2025-04-06,935.4103625,2013.905002,3342.840361,MS
2025-04-13,1029.814556,2108.309196,3547.641653,MS
2025-04-20,832.2529932,1910.747633,3136.934366,MS
2025-04-27,664.1044053,1742.599045,2533.259091,MS
2025-05-04,639.4026028,1717.897242,2795.604708,MS
2025-05-11,478.7973167,1557.291956,2649.577464,MS
2025-05-18,270.0221525,1348.516792,2260.612002,MS
2025-05-25,73.08895342,1151.583593,1760.690845,MS
2025-06-01,0,1049.833362,1558.209296,MS
2025-06-08,0,949.9512391,1312.10671,MS
2025-06-15,0,899.8096139,1032.26319,MS
2025-06-22,0,852.0222927,887.7723553,MS
2025-06-29,0,792.51865,925.0959142,MS
2025-07-06,0,741.5407444,882.9391324,MS
2025-07-13,0,710.1711412,826.8710237,MS
2025-07-20,0,683.1498593,758.8661733,MS
2025-07-27,0,665.635623,688.2550449,MS
2025-08-03,0,663.9801087,675.3134184,MS
2025-08-10,0,653.3438715,691.0460495,MS
2025-08-17,0,645.0491158,648.7183959,MS
2025-08-24,0,636.0947087,616.3716383,MS
2025-08-31,0,638.0741511,616.9006281,MS
2025-09-07,0,630.4949171,600.4209927,MS
2025-09-14,0,646.5079498,614.5550671,MS
2025-09-21,0,642.1085576,617.0196378,MS
2025-09-28,0,648.6678657,600.1555456,MS
