date,pred,lower,upper,adm_1
2024-10-06,332.6845394749293,0.0,1405.262271427612,PR
2024-10-13,371.98174646318677,0.0,1444.5594784158693,PR
2024-10-20,429.28441608742344,0.0,1501.8621480401061,PR
2024-10-27,409.8541932631043,0.0,1482.431925215787,PR
2024-11-03,450.7726671521092,0.0,1523.350399104792,PR
2024-11-10,513.2851661321538,0.0,1585.8628980848364,PR
2024-11-17,556.8567619632037,0.0,1629.4344939158864,PR
2024-11-24,717.284667930144,0.0,1789.8623998828266,PR
2024-12-01,753.5296703545591,0.0,1826.1074023072417,PR
2024-12-08,854.2815999814284,0.0,1926.859331934111,PR
2024-12-15,920.5413299651556,0.0,1993.1190619178383,PR
2024-12-22,789.7220111168504,0.0,1862.299743069533,PR
2024-12-29,734.046081046781,0.0,1806.6238129994636,PR
2025-01-05,1181.7242014334552,109.14646948077257,2254.3019333861375,PR
2025-01-12,1501.306619438269,428.7288874855865,2573.8843513909515,PR
2025-01-19,1783.2241796116016,710.646447658919,2855.801911564284,PR
2025-01-26,2168.624629540616,1096.0468975879332,3241.2023614932987,PR
2025-02-02,2491.5198989262026,1418.94216697352,3564.097630878885,PR
2025-02-09,3293.2638392915915,2220.686107338909,4365.841571244274,PR
2025-02-16,3874.0527614326584,2801.475029479976,4946.630493385341,PR
2025-02-23,3802.2023798276336,2729.624647874951,4874.7801117803165,PR
2025-03-02,4547.230041806548,3474.6523098538655,5619.80777375923,PR
2025-03-09,5097.970523851389,4025.3927918987065,6170.548255804071,PR
2025-03-16,5301.04707569732,4228.469343744638,6373.624807650002,PR
2025-03-23,5778.365913399217,4705.7881814465345,6850.943645351899,PR
2025-03-30,6030.312621493424,4957.734889540741,7102.890353446106,PR
2025-04-06,6129.595890671263,5057.018158718581,7202.173622623945,PR
2025-04-13,6477.536533211462,5404.958801258779,7550.114265164144,PR
2025-04-20,5550.238349341045,4477.660617388363,6622.816081293728,PR
2025-04-27,4705.7178455432295,3633.140113590547,5778.295577495912,PR
2025-05-04,4804.93010120978,3732.352369257098,5877.507833162463,PR
2025-05-11,3860.1232199603464,2787.545488007664,4932.700951913029,PR
2025-05-18,2701.3935257096327,1628.8157937569501,3773.971257662315,PR
2025-05-25,1837.4120717091312,764.8343397564486,2909.9898036618138,PR
2025-06-01,1349.3396842705602,276.76195231787756,2421.917416223243,PR
2025-06-08,1063.162105417038,0.0,2135.7398373697206,PR
2025-06-15,1019.8764237920235,0.0,2092.454155744706,PR
2025-06-22,753.4661374571664,0.0,1826.0438694098489,PR
2025-06-29,661.1972800747928,0.0,1733.7750120274754,PR
2025-07-06,423.7242673524468,0.0,1496.3019993051294,PR
2025-07-13,420.1858163067402,0.0,1492.7635482594228,PR
2025-07-20,360.7847225095607,0.0,1433.3624544622432,PR
2025-07-27,353.8393700487667,0.0,1426.4171020014492,PR
2025-08-03,326.68115908528995,0.0,1399.2588910379725,PR
2025-08-10,295.87541531535754,0.0,1368.45314726804,PR
2025-08-17,298.86064065543206,0.0,1371.4383726081146,PR
2025-08-24,311.75232308133457,0.0,1384.3300550340173,PR
2025-08-31,270.05568100061356,0.0,1342.633412953296,PR
2025-09-07,288.0877598467092,0.0,1360.665491799392,PR
2025-09-14,346.07937876887473,0.0,1418.6571107215573,PR
2025-09-21,320.56127807647516,0.0,1393.1390100291578,PR
2025-09-28,336.31760261605353,0.0,1408.8953345687362,PR
