date,pred,lower,upper,adm_1
2024-10-06,153.861442,0,467.1429458,RN
2024-10-13,151.2328086,0,464.5143124,RN
2024-10-20,150.2031366,0,463.4846404,RN
2024-10-27,128.6841804,0,441.9656842,RN
2024-11-03,120.0931158,0,433.3746195,RN
2024-11-10,141.1295612,0,454.411065,RN
2024-11-17,132.1791932,0,445.460697,RN
2024-11-24,134.0755603,0,447.3570641,RN
2024-12-01,142.7239739,0,456.0054777,RN
2024-12-08,133.5013191,0,446.7828229,RN
2024-12-15,132.2341457,0,445.5156495,RN
2024-12-22,124.5116833,0,437.7931871,RN
2024-12-29,122.9771092,0,436.258613,RN
2025-01-05,223.8157657,0,537.0972695,RN
2025-01-12,250.0722145,0,563.3537183,RN
2025-01-19,305.5709232,0,618.852427,RN
2025-01-26,395.7560765,82.47457267,709.0375803,RN
2025-02-02,533.800839,220.5193352,847.0823428,RN
2025-02-09,677.6204437,364.3389399,990.9019475,RN
2025-02-16,812.1446155,498.8631117,1125.426119,RN
2025-02-23,750.3357982,437.0542944,1063.617302,RN
2025-03-02,935.0041107,621.7226069,1248.285615,RN
2025-03-09,851.4007508,538.119247,1164.682255,RN
2025-03-16,901.1386058,587.857102,1214.42011,RN
2025-03-23,829.0116285,515.7301248,1142.293132,RN
2025-03-30,804.420322,491.1388182,1117.701826,RN
2025-04-06,882.7922972,569.5107934,1196.073801,RN
2025-04-13,1064.560485,751.278981,1377.841989,RN
2025-04-20,980.5825042,667.3010004,1293.864008,RN
2025-04-27,964.797077,651.5155732,1278.078581,RN
2025-05-04,970.9010971,657.6195933,1284.182601,RN
2025-05-11,920.9446015,607.6630977,1234.226105,RN
2025-05-18,962.9779935,649.6964897,1276.259497,RN
2025-05-25,870.3369377,557.0554339,1183.618441,RN
2025-06-01,802.0772023,488.7956985,1115.358706,RN
2025-06-08,771.7738214,458.4923176,1085.055325,RN
2025-06-15,680.3021997,367.0206959,993.5837035,RN
2025-06-22,622.3554732,309.0739694,935.636977,RN
2025-06-29,528.9101174,215.6286136,842.1916212,RN
2025-07-06,529.6509956,216.3694918,842.9324994,RN
2025-07-13,505.3413912,192.0598874,818.622895,RN
2025-07-20,471.2503486,157.9688448,784.5318524,RN
2025-07-27,416.6170328,103.3355291,729.8985366,RN
2025-08-03,391.4923007,78.21079692,704.7738045,RN
2025-08-10,377.4550432,64.17353944,690.736547,RN
2025-08-17,319.0307637,5.749259864,632.3122675,RN
2025-08-24,286.8966026,0,600.1781064,RN
2025-08-31,231.2955869,0,544.5770907,RN
2025-09-07,213.5236389,0,526.8051427,RN
2025-09-14,195.6434145,0,508.9249183,RN
2025-09-21,176.6913815,0,489.9728853,RN
2025-09-28,138.7746329,0,452.0561366,RN
