date,pred,lower,upper,adm_1
2024-10-06,42.68566392,13.26899414,72.10233369,RR
2024-10-13,44.09297765,14.67630788,73.50964743,RR
2024-10-20,45.15505818,15.7383884,74.57172795,RR
2024-10-27,40.14847261,10.73180283,69.56514238,RR
2024-11-03,40.97063821,11.55396844,70.38730799,RR
2024-11-10,43.09202955,13.67535978,72.50869933,RR
2024-11-17,43.05682506,13.64015528,72.47349483,RR
2024-11-24,43.63844998,14.2217802,73.05511975,RR
2024-12-01,42.85752884,13.44085907,72.27419862,RR
2024-12-08,38.62147071,9.204800939,68.03814049,RR
2024-12-15,41.23821624,11.82154647,70.65488602,RR
2024-12-22,38.81715401,9.400484235,68.23382379,RR
2024-12-29,34.06331082,4.646641049,63.4799806,RR
2025-01-05,33.44055557,4.02388579,62.85722534,RR
2025-01-12,34.17391955,4.757249773,63.59058932,RR
2025-01-19,37.37816994,7.961500167,66.79483972,RR
2025-01-26,38.83490601,9.418236235,68.25157579,RR
2025-02-02,38.27930634,8.862636565,67.69597611,RR
2025-02-09,42.13155758,12.71488781,71.54822736,RR
2025-02-16,39.410649,9.99397923,68.82731878,RR
2025-02-23,37.16361295,7.746943175,66.58028272,RR
2025-03-02,39.30785145,9.891181671,68.72452122,RR
2025-03-09,42.03581676,12.61914698,71.45248653,RR
2025-03-16,46.13275864,16.71608886,75.54942841,RR
2025-03-23,50.7076466,21.29097683,80.12431638,RR
2025-03-30,44.84236019,15.42569042,74.25902997,RR
2025-04-06,43.05304335,13.63637357,72.46971312,RR
2025-04-13,40.95907575,11.54240598,70.37574553,RR
2025-04-20,39.24651587,9.829846098,68.66318565,RR
2025-04-27,37.16845735,7.751787574,66.58512712,RR
2025-05-04,43.37782949,13.96115971,72.79449926,RR
2025-05-11,51.32313634,21.90646656,80.73980611,RR
2025-05-18,56.71020577,27.293536,86.12687555,RR
2025-05-25,55.076226,25.65955622,84.49289577,RR
2025-06-01,48.18662478,18.769955,77.60329455,RR
2025-06-08,52.17598833,22.75931856,81.59265811,RR
2025-06-15,56.82275464,27.40608486,86.23942441,RR
2025-06-22,57.70303899,28.28636921,87.11970876,RR
2025-06-29,58.94348681,29.52681704,88.36015659,RR
2025-07-06,54.17137554,24.75470576,83.58804531,RR
2025-07-13,56.17973316,26.76306339,85.59640294,RR
2025-07-20,63.21064886,33.79397909,92.62731864,RR
2025-07-27,56.31279145,26.89612167,85.72946122,RR
2025-08-03,57.8411569,28.42448713,87.25782668,RR
2025-08-10,57.52154228,28.10487251,86.93821206,RR
2025-08-17,57.53306127,28.1163915,86.94973105,RR
2025-08-24,55.34601148,25.9293417,84.76268125,RR
2025-08-31,50.74318453,21.32651475,80.1598543,RR
2025-09-07,47.4256772,18.00900743,76.84234698,RR
2025-09-14,46.53996174,17.12329197,75.95663152,RR
2025-09-21,45.75240308,16.3357333,75.16907285,RR
2025-09-28,40.84962977,11.43295999,70.26629954,RR
