date,pred,lower,upper,adm_1
2024-10-06,18.33355935,0,2059.126995,SC
2024-10-13,20.56468585,0,2061.358121,SC
2024-10-20,22.04214939,0,2062.835585,SC
2024-10-27,22.50080962,0,2063.294245,SC
2024-11-03,24.2658082,0,2065.059244,SC
2024-11-10,26.14321216,0,2066.936648,SC
2024-11-17,29.35040698,0,2070.143843,SC
2024-11-24,32.70364888,0,2073.497084,SC
2024-12-01,38.22781361,0,2079.021249,SC
2024-12-08,46.06944725,0,2086.862883,SC
2024-12-15,53.24523339,0,2094.038669,SC
2024-12-22,53.08919754,0,2093.882633,SC
2024-12-29,44.55625097,0,2085.349687,SC
2025-01-05,62.59165111,0,2103.385087,SC
2025-01-12,60.03050102,0,2100.823937,SC
2025-01-19,64.86412345,0,2105.657559,SC
2025-01-26,75.08873992,0,2115.882176,SC
2025-02-02,98.65959813,0,2139.453034,SC
2025-02-09,176.4886229,0,2217.282058,SC
2025-02-16,184.4903182,0,2225.283754,SC
2025-02-23,225.3233195,0,2266.116755,SC
2025-03-02,393.4947842,0,2434.28822,SC
2025-03-09,531.5446904,0,2572.338126,SC
2025-03-16,761.8030482,0,2802.596484,SC
2025-03-23,1043.043021,0,3083.836457,SC
2025-03-30,1457.424942,0,3498.218378,SC
2025-04-06,1703.237362,0,3744.030798,SC
2025-04-13,1858.126689,0,3898.920124,SC
2025-04-20,1964.073813,0,4004.867249,SC
2025-04-27,1850.085586,0,3890.879022,SC
2025-05-04,1906.085077,0,3946.878513,SC
2025-05-11,1719.495506,0,3760.288941,SC
2025-05-18,1414.545862,0,3455.339298,SC
2025-05-25,1011.808367,0,3052.601803,SC
2025-06-01,826.6912148,0,2867.48465,SC
2025-06-08,479.5091777,0,2520.302613,SC
2025-06-15,478.062526,0,2518.855962,SC
2025-06-22,333.457836,0,2374.251272,SC
2025-06-29,244.1063104,0,2284.899746,SC
2025-07-06,188.3424938,0,2229.135929,SC
2025-07-13,130.3887561,0,2171.182192,SC
2025-07-20,92.70015939,0,2133.493595,SC
2025-07-27,67.54284657,0,2108.336282,SC
2025-08-03,63.95031984,0,2104.743755,SC
2025-08-10,50.05088151,0,2090.844317,SC
2025-08-17,47.26211654,0,2088.055552,SC
2025-08-24,39.78735832,0,2080.580794,SC
2025-08-31,37.44465788,0,2078.238094,SC
2025-09-07,38.09024586,0,2078.883681,SC
2025-09-14,42.47869033,0,2083.272126,SC
2025-09-21,41.59154698,0,2082.384983,SC
2025-09-28,37.58617568,0,2078.379611,SC
