date,pred,lower,upper,adm_1
2024-10-06,64.74773839,0,246.759503,TO
2024-10-13,70.6888223,0,252.700587,TO
2024-10-20,88.50160361,0,270.5133683,TO
2024-10-27,102.1563666,0,284.1681312,TO
2024-11-03,130.6645551,0,312.6763197,TO
2024-11-10,150.4819128,0,332.4936775,TO
2024-11-17,188.6546938,6.642929157,370.6664585,TO
2024-11-24,226.9596275,44.94786288,408.9713922,TO
2024-12-01,312.1368541,130.1250894,494.1486187,TO
2024-12-08,341.403105,159.3913403,523.4148696,TO
2024-12-15,356.1026192,174.0908545,538.1143838,TO
2024-12-22,265.1402537,83.12848902,447.1520183,TO
2024-12-29,239.0183853,57.00662063,421.0301499,TO
2025-01-05,478.9337325,296.9219678,660.9454971,TO
2025-01-12,491.8334184,309.8216538,673.8451831,TO
2025-01-19,516.8637838,334.8520192,698.8755485,TO
2025-01-26,548.3223646,366.3105999,730.3341292,TO
2025-02-02,630.4258457,448.4140811,812.4376104,TO
2025-02-09,622.9633004,440.9515357,804.975065,TO
2025-02-16,620.2921207,438.280356,802.3038853,TO
2025-02-23,572.7463046,390.73454,754.7580693,TO
2025-03-02,551.7624034,369.7506387,733.774168,TO
2025-03-09,522.2237985,340.2120339,704.2355632,TO
2025-03-16,562.2996111,380.2878465,744.3113758,TO
2025-03-23,561.4480493,379.4362847,743.459814,TO
2025-03-30,533.784879,351.7731143,715.7966436,TO
2025-04-06,531.4499158,349.4381512,713.4616805,TO
2025-04-13,532.7619197,350.750155,714.7736844,TO
2025-04-20,498.0725364,316.0607717,680.0843011,TO
2025-04-27,485.7850411,303.7732764,667.7968057,TO
2025-05-04,473.9562905,291.9445258,655.9680551,TO
2025-05-11,456.4850822,274.4733176,638.4968469,TO
2025-05-18,419.9256101,237.9138454,601.9373747,TO
2025-05-25,369.0511434,187.0393788,551.0629081,TO
2025-06-01,314.0430068,132.0312422,496.0547715,TO
2025-06-08,267.6813826,85.66961798,449.6931473,TO
2025-06-15,251.0908201,69.07905548,433.1025848,TO
2025-06-22,203.3410667,21.32930206,385.3528314,TO
2025-06-29,172.2036647,0,354.2154294,TO
2025-07-06,142.5509745,0,324.5627391,TO
2025-07-13,115.8750711,0,297.8868358,TO
2025-07-20,105.928294,0,287.9400587,TO
2025-07-27,95.33650369,0,277.3482683,TO
2025-08-03,92.01289988,0,274.0246645,TO
2025-08-10,86.69112275,0,268.7028874,TO
2025-08-17,84.02953341,0,266.0412981,TO
2025-08-24,78.35727975,0,260.3690444,TO
2025-08-31,66.21463454,0,248.2263992,TO
2025-09-07,61.48700953,0,243.4987742,TO
2025-09-14,64.38373644,0,246.3955011,TO
2025-09-21,64.65278353,0,246.6645482,TO
2025-09-28,64.2512602,0,246.2630249,TO
